name,description,No.,the_geom,CODIGO,LATITUD,LONGITUD,ESTADO,unnamed (1),unnamed (2)
CALLE 100 CON CARRERA 46 BARRANQUILLA,No.: 1<br>CODIGO: 10046<br>LATITUD: 11.0080352<br>LONGITUD: -74.8338823<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,1,POINT (-74.8338823 11.0080352),10046,11.0080352,-74.8338823,Funcionando,,
CALLE 106 CON CARRERA 53 BARRANQUILLA,No.: 5<br>CODIGO: 10653<br>LATITUD: 11.0175066<br>LONGITUD: -74.8346608<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,5,POINT (-74.8346608 11.0175066),10653,11.0175066,-74.8346608,Funcionando,,
CALLE 110 CON CARRERA 13 BARRANQUILLA,No.: 6<br>CODIGO: 11013<br>LATITUD: 10.9683261<br>LONGITUD: -74.8380514<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,6,POINT (-74.8380514 10.9683261),11013,10.9683261,-74.8380514,Funcionando,,
CALLE 110 CON VENTANA AL MUNDO BARRANQUILLA,No.: 7<br>CODIGO: 110<br>LATITUD: 11.032731<br>LONGITUD: -74.831136<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,7,POINT (-74.831136 11.032731),110,11.032731,-74.831136,Funcionando,,
CALLE 17 CON CARRERA 15 BARRANQUILLA,No.: 8<br>CODIGO: 508<br>LATITUD: 10.9539613<br>LONGITUD: -74.7739496<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,8,POINT (-74.7739496 10.9539613),508,10.9539613,-74.7739496,Funcionando,,
CALLE 17 CON CARRERA 30 BARRANQUILLA,No.: 9<br>CODIGO: 500<br>LATITUD: 10.9674284<br>LONGITUD: -74.7748803<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,9,POINT (-74.7748803 10.9674284),500,10.9674284,-74.7748803,Funcionando,,
CALLE 17 CON CARRERA 38 BARRANQUILLA,No.: 10<br>CODIGO: 1124<br>LATITUD: 10.9754118<br>LONGITUD: -74.7753842<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,10,POINT (-74.7753842 10.9754118),1124,10.9754118,-74.7753842,Funcionando,,
CALLE 19 CON CARRERA 1E BARRANQUILLA,No.: 11<br>CODIGO: 1901<br>LATITUD: 10.936612<br>LONGITUD: -74.780262<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,11,POINT (-74.780262 10.936612),1901,10.936612,-74.780262,Funcionando,,
CALLE 19 CON CARRERA 5B BARRANQUILLA,No.: 12<br>CODIGO: 1905<br>LATITUD: 10.9437723<br>LONGITUD: -74.7768943<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,12,POINT (-74.7768943 10.9437723),1905,10.9437723,-74.7768943,Funcionando,,
CALLE 19 CON CARRERA 7 BARRANQUILLA,No.: 13<br>CODIGO: 1907<br>LATITUD: 10.94681<br>LONGITUD: -74.7759048<br>ESTADO: Funcionando<br>unnamed (1): <br>unnamed (2):,13,POINT (-74.7759048 10.94681),1907,10.94681,-74.7759048,Funcionando,,
